"manifest_path","mnemonic","rom_path"
"3ds/100% Pascal Sensei - Kanpeki Paint Bombers (Japan).3ds","3ds","100% Pascal Sensei - Kanpeki Paint Bombers (Japan).3ds"
"3ds/12-Sai. Honto no Kimochi (Japan).3ds","3ds","12-Sai. Honto no Kimochi (Japan).3ds"
"3ds/12-Sai. Koisuru Diary (Japan).3ds","3ds","12-Sai. Koisuru Diary (Japan).3ds"
"3ds/12-Sai. Torokeru Puzzle Futari no Harmony (Japan).3ds","3ds","12-Sai. Torokeru Puzzle Futari no Harmony (Japan).3ds"
"3ds/2in1 - Life with Horses 3D + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl).3ds","3ds","2in1 - Life with Horses 3D + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/2in1 - My Vet Practice 3D - In the Country + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl).3ds","3ds","2in1 - My Vet Practice 3D - In the Country + My Baby Pet Hotel 3D (Europe) (En,Fr,De,Es,It,Nl).3ds"
"3ds/2in1 Horses 3D - My Foal 3D + My Riding Stables 3D - Rivals in the Saddle (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da).3ds","3ds","2in1 Horses 3D - My Foal 3D + My Riding Stables 3D - Rivals in the Saddle (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da).3ds"
"3ds/2in1 Horses 3D Vol.2 - Rivals in the Saddle and Jumping for the Team 3D (Europe) (En,Fr,De,Es,It).3ds","3ds","2in1 Horses 3D Vol.2 - Rivals in the Saddle and Jumping for the Team 3D (Europe) (En,Fr,De,Es,It).3ds"
"3ds/2in1 Horses 3D Vol.3 - My Riding Stables 3D - Jumping for the Team and My Western Horse 3D (Europe) (En,Fr,De,It,Nl).3ds","3ds","2in1 Horses 3D Vol.3 - My Riding Stables 3D - Jumping for the Team and My Western Horse 3D (Europe) (En,Fr,De,It,Nl).3ds"
"3ds/35 Classic Games (Europe) (En,Fr,Es,It).3ds","3ds","35 Classic Games (Europe) (En,Fr,Es,It).3ds"
"3ds/3D Game Collection - 55-in-1 (Europe).3ds","3ds","3D Game Collection - 55-in-1 (Europe).3ds"
"3ds/3D MahJongg (Europe) (En,Fr,De,Nl).3ds","3ds","3D MahJongg (Europe) (En,Fr,De,Nl).3ds"
"3ds/4 Elements (Europe) (En,Fr,De,Nl).3ds","3ds","4 Elements (Europe) (En,Fr,De,Nl).3ds"
"3ds/7th Dragon III Code - VFD (Europe).3ds","3ds","7th Dragon III Code - VFD (Europe).3ds"
"3ds/A-Ressha de Ikou 3D (Japan).3ds","3ds","A-Ressha de Ikou 3D (Japan).3ds"
"3ds/AKB48+Me (Japan).3ds","3ds","AKB48+Me (Japan).3ds"
"3ds/Ace Combat - Assault Horizon Legacy (Europe) (En,Fr,De,Es,It).3ds","3ds","Ace Combat - Assault Horizon Legacy (Europe) (En,Fr,De,Es,It).3ds"
"3ds/Ace Combat 3D - Cross Rumble (Japan).3ds","3ds","Ace Combat 3D - Cross Rumble (Japan).3ds"
"3ds/Acrylic Palette - Irodori Cafe - Cheers (Japan).3ds","3ds","Acrylic Palette - Irodori Cafe - Cheers (Japan).3ds"
